Date,PC
24-01-2016,11125
24-01-2016,11292
24-01-2016,11162
24-01-2016,10760
25-01-2016,10479
25-01-2016,10194
25-01-2016,10094
25-01-2016,10149
25-01-2016,10654
25-01-2016,11570
25-01-2016,12139
25-01-2016,12379
25-01-2016,12194
25-01-2016,12162
25-01-2016,12065
25-01-2016,12082
25-01-2016,11961
25-01-2016,11940
25-01-2016,11910
25-01-2016,12099
25-01-2016,12292
25-01-2016,12192
25-01-2016,12145
25-01-2016,12009
25-01-2016,11638
25-01-2016,11695
25-01-2016,11411
25-01-2016,10934
26-01-2016,10614
26-01-2016,10378
26-01-2016,10254
26-01-2016,10411
26-01-2016,10817
26-01-2016,11528
26-01-2016,12050
26-01-2016,12328
26-01-2016,12191
26-01-2016,12044
26-01-2016,11919
26-01-2016,11869
26-01-2016,11763
26-01-2016,11698
26-01-2016,11645
26-01-2016,11792
26-01-2016,11939
26-01-2016,11870
26-01-2016,11797
26-01-2016,11498
26-01-2016,10988
26-01-2016,10983
26-01-2016,10669
26-01-2016,10171
27-01-2016,9798
27-01-2016,9617
27-01-2016,9561
27-01-2016,9604
27-01-2016,10041
27-01-2016,10903
27-01-2016,11477
27-01-2016,11664
27-01-2016,11495
27-01-2016,11406
27-01-2016,11414
27-01-2016,11322
27-01-2016,11196
27-01-2016,11162
27-01-2016,11102
27-01-2016,11267
27-01-2016,11553
27-01-2016,11561
27-01-2016,11587
27-01-2016,11428
27-01-2016,10907
27-01-2016,10889
27-01-2016,10593
27-01-2016,10085
28-01-2016,9704
28-01-2016,9463
28-01-2016,9434
28-01-2016,9532
28-01-2016,9947
28-01-2016,10849
28-01-2016,11437
28-01-2016,11644
28-01-2016,11476
28-01-2016,11485
28-01-2016,11505
28-01-2016,11458
28-01-2016,11333
28-01-2016,11293
28-01-2016,11343
28-01-2016,11619
28-01-2016,11822
28-01-2016,11776
28-01-2016,11789
28-01-2016,11661
28-01-2016,11174
28-01-2016,11170
28-01-2016,10893
28-01-2016,10415
29-01-2016,10095
29-01-2016,9913
29-01-2016,9834
29-01-2016,9936
29-01-2016,10370
29-01-2016,11248
29-01-2016,11882
29-01-2016,12070
29-01-2016,11962
29-01-2016,11928
29-01-2016,11878
29-01-2016,11785
29-01-2016,11706
29-01-2016,11608
29-01-2016,11551
29-01-2016,11749
29-01-2016,11900
29-01-2016,11895
29-01-2016,11813
29-01-2016,11540
29-01-2016,11095
29-01-2016,11105
29-01-2016,10825
29-01-2016,10257
30-01-2016,9844
30-01-2016,9508
30-01-2016,9423
30-01-2016,9357
30-01-2016,9469
30-01-2016,9710
30-01-2016,9912
30-01-2016,10105
30-01-2016,10157
30-01-2016,10213
30-01-2016,10287
30-01-2016,10287
30-01-2016,10209
30-01-2016,10193
30-01-2016,10317
30-01-2016,10687
30-01-2016,11225
30-01-2016,11252
30-01-2016,11054
30-01-2016,10703
30-01-2016,10300
30-01-2016,10467
30-01-2016,10299
30-01-2016,9957
31-01-2016,9653
31-01-2016,9364
31-01-2016,9202
31-01-2016,9166
31-01-2016,9217
31-01-2016,9394
31-01-2016,9429
31-01-2016,9587
31-01-2016,9707
31-01-2016,9892
31-01-2016,10069
31-01-2016,10122
31-01-2016,10046
31-01-2016,9948
31-01-2016,10035
31-01-2016,10266
31-01-2016,10760
31-01-2016,10844
31-01-2016,10825
31-01-2016,10651
31-01-2016,10326
31-01-2016,10479
31-01-2016,10335
31-01-2016,9943
01-02-2016,9594
01-02-2016,9396
01-02-2016,9376
01-02-2016,9493
01-02-2016,9894
01-02-2016,10865
01-02-2016,11557
01-02-2016,11729
01-02-2016,11692
01-02-2016,11620
01-02-2016,11655
01-02-2016,11574
01-02-2016,11448
01-02-2016,11294
01-02-2016,11337
01-02-2016,11564
01-02-2016,11895
01-02-2016,11869
01-02-2016,11815
01-02-2016,11625
01-02-2016,11190
01-02-2016,11146
01-02-2016,10896
01-02-2016,10419
02-02-2016,10045
02-02-2016,9793
02-02-2016,9704
02-02-2016,9899
02-02-2016,10303
02-02-2016,11214
02-02-2016,11773
02-02-2016,11875
02-02-2016,11702
02-02-2016,11659
02-02-2016,11653
02-02-2016,11714
02-02-2016,11634
02-02-2016,11572
02-02-2016,11524
02-02-2016,11576
02-02-2016,11902
02-02-2016,11895
02-02-2016,11942
02-02-2016,11713
02-02-2016,11173
02-02-2016,11137
02-02-2016,10862
02-02-2016,10413
03-02-2016,10084
03-02-2016,9863
03-02-2016,9794
03-02-2016,9851
03-02-2016,10226
03-02-2016,11146
03-02-2016,11592
03-02-2016,11612
03-02-2016,11578
03-02-2016,11542
03-02-2016,11579
03-02-2016,11541
03-02-2016,11479
03-02-2016,11367
03-02-2016,11295
03-02-2016,11492
03-02-2016,11949
03-02-2016,11969
03-02-2016,11988
03-02-2016,11749
03-02-2016,11186
03-02-2016,11163
03-02-2016,10974
03-02-2016,10487
04-02-2016,10289
04-02-2016,10141
04-02-2016,10042
04-02-2016,10136
04-02-2016,10551
04-02-2016,11388
04-02-2016,11976
04-02-2016,11883
04-02-2016,11801
04-02-2016,11760
04-02-2016,11705
04-02-2016,11650
04-02-2016,11586
04-02-2016,11482
04-02-2016,11493
04-02-2016,11545
04-02-2016,11938
04-02-2016,12073
04-02-2016,12051
04-02-2016,11901
04-02-2016,11459
04-02-2016,11364
04-02-2016,11080
04-02-2016,10605
05-02-2016,10307
05-02-2016,10124
05-02-2016,10075
05-02-2016,10160
05-02-2016,10482
05-02-2016,11422
05-02-2016,11985
05-02-2016,12052
05-02-2016,12022
05-02-2016,12043
05-02-2016,12034
05-02-2016,12045
05-02-2016,11918
05-02-2016,11740
05-02-2016,11643
05-02-2016,11778
05-02-2016,12247
05-02-2016,12328
05-02-2016,12256
05-02-2016,12006
05-02-2016,11555
05-02-2016,11544
05-02-2016,11259
05-02-2016,10842
06-02-2016,10463
06-02-2016,10240
06-02-2016,10116
06-02-2016,10112
06-02-2016,10235
06-02-2016,10489
06-02-2016,10666
06-02-2016,10769
06-02-2016,10893
06-02-2016,11043
06-02-2016,11018
06-02-2016,10921
06-02-2016,10929
06-02-2016,10878
06-02-2016,10858
06-02-2016,11034
06-02-2016,11725
06-02-2016,11835
06-02-2016,11689
06-02-2016,11246
06-02-2016,10874
06-02-2016,10916
06-02-2016,10669
06-02-2016,10234
07-02-2016,9852
07-02-2016,9605
07-02-2016,9446
07-02-2016,9404
07-02-2016,9402
07-02-2016,9515
