Date,Hours,PC
12-01-2013,01 - 02,10609
12-01-2013,02 - 03,10482
12-01-2013,03 - 04,10464
12-01-2013,04 - 05,10603
12-01-2013,05 - 06,10879
12-01-2013,06 - 07,11014
12-01-2013,07 - 08,11397
12-01-2013,08 - 09,11486
12-01-2013,09 - 10,11640
12-01-2013,10 - 11,11693
12-01-2013,11 - 12,11629
12-01-2013,12 - 13,11471
12-01-2013,13 - 14,11459
12-01-2013,14 - 15,11688
12-01-2013,15 - 16,12312
12-01-2013,16 - 17,12730
12-01-2013,17 - 18,12788
12-01-2013,18 - 19,12664
12-01-2013,19 - 20,12188
12-01-2013,20 - 21,11772
12-01-2013,21 - 22,12062
12-01-2013,22 - 23,11878
12-01-2013,23 - 00,11438
13-01-2013,00 - 01,11087
13-01-2013,01 - 02,10810
13-01-2013,02 - 03,10591
13-01-2013,03 - 04,10495
13-01-2013,04 - 05,10502
13-01-2013,05 - 06,10645
13-01-2013,06 - 07,10623
13-01-2013,07 - 08,10874
13-01-2013,08 - 09,10876
13-01-2013,09 - 10,11004
13-01-2013,10 - 11,11187
13-01-2013,11 - 12,11197
13-01-2013,12 - 13,11079
13-01-2013,13 - 14,11024
13-01-2013,14 - 15,11147
13-01-2013,15 - 16,11553
13-01-2013,16 - 17,11773
13-01-2013,17 - 18,11688
13-01-2013,18 - 19,11653
13-01-2013,19 - 20,11422
13-01-2013,20 - 21,11072
13-01-2013,21 - 22,11255
13-01-2013,22 - 23,11046
13-01-2013,23 - 00,10633
14-01-2013,00 - 01,10256
14-01-2013,01 - 02,10040
14-01-2013,02 - 03,9971
14-01-2013,03 - 04,10045
14-01-2013,04 - 05,10441
14-01-2013,05 - 06,11458
14-01-2013,06 - 07,12058
14-01-2013,07 - 08,12375
14-01-2013,08 - 09,12192
14-01-2013,09 - 10,12051
14-01-2013,10 - 11,12058
14-01-2013,11 - 12,12014
14-01-2013,12 - 13,12044
14-01-2013,13 - 14,12038
14-01-2013,14 - 15,12047
14-01-2013,15 - 16,12294
14-01-2013,16 - 17,12340
14-01-2013,17 - 18,12250
14-01-2013,18 - 19,12153
14-01-2013,19 - 20,11959
14-01-2013,20 - 21,11455
14-01-2013,21 - 22,11555
14-01-2013,22 - 23,11206
14-01-2013,23 - 00,10733
15-01-2013,00 - 01,10383
15-01-2013,01 - 02,10183
15-01-2013,02 - 03,10130
15-01-2013,03 - 04,10266
15-01-2013,04 - 05,10678
15-01-2013,05 - 06,11750
15-01-2013,06 - 07,12332
15-01-2013,07 - 08,12645
15-01-2013,08 - 09,12386
15-01-2013,09 - 10,12323
15-01-2013,10 - 11,12299
15-01-2013,11 - 12,12269
15-01-2013,12 - 13,12201
15-01-2013,13 - 14,12137
15-01-2013,14 - 15,12170
15-01-2013,15 - 16,12438
15-01-2013,16 - 17,12511
15-01-2013,17 - 18,12444
15-01-2013,18 - 19,12466
15-01-2013,19 - 20,12267
15-01-2013,20 - 21,11774
15-01-2013,21 - 22,11874
15-01-2013,22 - 23,11567
15-01-2013,23 - 00,11073
16-01-2013,00 - 01,10704
16-01-2013,01 - 02,10496
16-01-2013,02 - 03,10428
16-01-2013,03 - 04,10460
16-01-2013,04 - 05,10977
16-01-2013,05 - 06,11954
16-01-2013,06 - 07,12451
16-01-2013,07 - 08,12734
16-01-2013,08 - 09,12552
16-01-2013,09 - 10,12404
16-01-2013,10 - 11,12419
16-01-2013,11 - 12,12432
16-01-2013,12 - 13,12339
16-01-2013,13 - 14,12330
16-01-2013,14 - 15,12389
16-01-2013,15 - 16,12782
16-01-2013,16 - 17,12951
16-01-2013,17 - 18,12927
16-01-2013,18 - 19,12953
16-01-2013,19 - 20,12767
16-01-2013,20 - 21,12152
16-01-2013,21 - 22,12246
16-01-2013,22 - 23,11919
16-01-2013,23 - 00,11404
17-01-2013,00 - 01,11079
17-01-2013,01 - 02,10861
17-01-2013,02 - 03,10762
17-01-2013,03 - 04,10864
17-01-2013,04 - 05,11244
17-01-2013,05 - 06,12261
17-01-2013,06 - 07,12864
17-01-2013,07 - 08,13170
17-01-2013,08 - 09,13013
17-01-2013,09 - 10,12927
17-01-2013,10 - 11,12793
17-01-2013,11 - 12,12802
17-01-2013,12 - 13,12723
17-01-2013,13 - 14,12685
17-01-2013,14 - 15,12712
17-01-2013,15 - 16,13134
17-01-2013,16 - 17,13351
17-01-2013,17 - 18,13304
17-01-2013,18 - 19,13314
17-01-2013,19 - 20,13183
17-01-2013,20 - 21,12724
17-01-2013,21 - 22,12795
17-01-2013,22 - 23,12570
17-01-2013,23 - 00,12092
18-01-2013,00 - 01,11724
18-01-2013,01 - 02,11514
18-01-2013,02 - 03,11538
18-01-2013,03 - 04,11645
18-01-2013,04 - 05,12077
18-01-2013,05 - 06,13169
18-01-2013,06 - 07,13704
18-01-2013,07 - 08,13990
18-01-2013,08 - 09,14043
18-01-2013,09 - 10,13941
18-01-2013,10 - 11,13750
18-01-2013,11 - 12,13659
18-01-2013,12 - 13,13391
18-01-2013,13 - 14,13228
18-01-2013,14 - 15,13188
18-01-2013,15 - 16,13545
18-01-2013,16 - 17,13722
18-01-2013,17 - 18,13706
18-01-2013,18 - 19,13616
18-01-2013,19 - 20,13363
18-01-2013,20 - 21,12908
18-01-2013,21 - 22,13061
18-01-2013,22 - 23,12704
18-01-2013,23 - 00,12176
19-01-2013,00 - 01,11744
19-01-2013,01 - 02,11419
19-01-2013,02 - 03,11333
19-01-2013,03 - 04,11357
19-01-2013,04 - 05,11462
19-01-2013,05 - 06,11749
19-01-2013,06 - 07,11729
19-01-2013,07 - 08,12040
19-01-2013,08 - 09,12031
19-01-2013,09 - 10,12222
19-01-2013,10 - 11,12200
19-01-2013,11 - 12,12100
19-01-2013,12 - 13,11893
19-01-2013,13 - 14,11836
19-01-2013,14 - 15,11931
19-01-2013,15 - 16,12410
19-01-2013,16 - 17,12876
19-01-2013,17 - 18,12845
19-01-2013,18 - 19,12594
19-01-2013,19 - 20,12073
19-01-2013,20 - 21,11673
19-01-2013,21 - 22,11867
19-01-2013,22 - 23,11662
19-01-2013,23 - 00,11250
20-01-2013,00 - 01,10813
20-01-2013,01 - 02,10518
20-01-2013,02 - 03,10406
20-01-2013,03 - 04,10374
20-01-2013,04 - 05,10461
20-01-2013,05 - 06,10591
20-01-2013,06 - 07,10488
20-01-2013,07 - 08,10721
20-01-2013,08 - 09,10716
20-01-2013,09 - 10,10895
20-01-2013,10 - 11,11037
20-01-2013,11 - 12,11020
20-01-2013,12 - 13,10938
20-01-2013,13 - 14,10936
20-01-2013,14 - 15,11055
20-01-2013,15 - 16,11437
20-01-2013,16 - 17,11797
20-01-2013,17 - 18,11819
20-01-2013,18 - 19,11751
20-01-2013,19 - 20,11554
20-01-2013,20 - 21,11217
20-01-2013,21 - 22,11522
20-01-2013,22 - 23,11402
20-01-2013,23 - 00,10910
21-01-2013,00 - 01,10605
21-01-2013,01 - 02,10414
21-01-2013,02 - 03,10288
21-01-2013,03 - 04,10449
21-01-2013,04 - 05,10920
21-01-2013,05 - 06,11950
21-01-2013,06 - 07,12526
21-01-2013,07 - 08,12812
21-01-2013,08 - 09,12660
21-01-2013,09 - 10,12569
21-01-2013,10 - 11,12528
21-01-2013,11 - 12,12465
21-01-2013,12 - 13,12362
21-01-2013,13 - 14,12254
21-01-2013,14 - 15,12154
21-01-2013,15 - 16,12378
21-01-2013,16 - 17,12507
21-01-2013,17 - 18,12496
21-01-2013,18 - 19,12391
21-01-2013,19 - 20,12126
21-01-2013,20 - 21,11666
21-01-2013,21 - 22,11749
21-01-2013,22 - 23,11453
21-01-2013,23 - 00,10945
22-01-2013,00 - 01,10628
22-01-2013,01 - 02,10315
22-01-2013,02 - 03,10240
22-01-2013,03 - 04,10378
22-01-2013,04 - 05,10818
22-01-2013,05 - 06,11805
22-01-2013,06 - 07,12251
22-01-2013,07 - 08,12437
22-01-2013,08 - 09,12231
22-01-2013,09 - 10,12130
22-01-2013,10 - 11,12050
22-01-2013,11 - 12,12003
22-01-2013,12 - 13,11876
22-01-2013,13 - 14,11779
22-01-2013,14 - 15,11820
22-01-2013,15 - 16,11978
22-01-2013,16 - 17,12270
22-01-2013,17 - 18,12212
22-01-2013,18 - 19,12128
22-01-2013,19 - 20,11888
22-01-2013,20 - 21,11322
22-01-2013,21 - 22,11432
22-01-2013,22 - 23,11221
22-01-2013,23 - 00,10678
23-01-2013,00 - 01,10414
23-01-2013,01 - 02,10302
23-01-2013,02 - 03,10284
23-01-2013,03 - 04,10414
23-01-2013,04 - 05,10909
23-01-2013,05 - 06,11820
23-01-2013,06 - 07,12332
23-01-2013,07 - 08,12488
23-01-2013,08 - 09,12322
23-01-2013,09 - 10,12323
23-01-2013,10 - 11,12243
23-01-2013,11 - 12,12147
23-01-2013,12 - 13,12037
23-01-2013,13 - 14,11931
23-01-2013,14 - 15,11956
23-01-2013,15 - 16,12162
23-01-2013,16 - 17,12451
23-01-2013,17 - 18,12379
23-01-2013,18 - 19,12499
23-01-2013,19 - 20,12296
23-01-2013,20 - 21,11694
23-01-2013,21 - 22,11714
23-01-2013,22 - 23,11492
23-01-2013,23 - 00,11025
24-01-2013,00 - 01,10701
24-01-2013,01 - 02,10447
24-01-2013,02 - 03,10475
24-01-2013,03 - 04,10664
24-01-2013,04 - 05,11126
24-01-2013,05 - 06,12149
24-01-2013,06 - 07,12725
24-01-2013,07 - 08,12957
24-01-2013,08 - 09,12736
24-01-2013,09 - 10,12636
24-01-2013,10 - 11,12594
24-01-2013,11 - 12,12409
24-01-2013,12 - 13,12268
24-01-2013,13 - 14,12230
24-01-2013,14 - 15,12289
24-01-2013,15 - 16,12514
24-01-2013,16 - 17,12866
24-01-2013,17 - 18,12836
24-01-2013,18 - 19,12835
24-01-2013,19 - 20,12668
24-01-2013,20 - 21,12246
24-01-2013,21 - 22,12336
24-01-2013,22 - 23,12036
24-01-2013,23 - 00,11584
25-01-2013,00 - 01,11225
25-01-2013,01 - 02,11085
25-01-2013,02 - 03,10952
25-01-2013,03 - 04,11123
25-01-2013,04 - 05,11524
25-01-2013,05 - 06,12506
25-01-2013,06 - 07,13014
25-01-2013,07 - 08,13164
25-01-2013,08 - 09,12910
25-01-2013,09 - 10,12747
25-01-2013,10 - 11,12754
25-01-2013,11 - 12,12588
25-01-2013,12 - 13,12430
25-01-2013,13 - 14,12236
25-01-2013,14 - 15,12238
25-01-2013,15 - 16,12365
25-01-2013,16 - 17,12713
25-01-2013,17 - 18,12629
25-01-2013,18 - 19,12565
25-01-2013,19 - 20,12109
25-01-2013,20 - 21,11639
25-01-2013,21 - 22,11801
