Date,Hours,PC
20-05-2015,23 - 00,7978
21-05-2015,00 - 01,7589
21-05-2015,01 - 02,7325
21-05-2015,02 - 03,7191
21-05-2015,03 - 04,7109
21-05-2015,04 - 05,7256
21-05-2015,05 - 06,8108
21-05-2015,06 - 07,8733
21-05-2015,07 - 08,9086
21-05-2015,08 - 09,9136
21-05-2015,09 - 10,9147
21-05-2015,10 - 11,9155
21-05-2015,11 - 12,9180
21-05-2015,12 - 13,9147
21-05-2015,13 - 14,9004
21-05-2015,14 - 15,8948
21-05-2015,15 - 16,8748
21-05-2015,16 - 17,8694
21-05-2015,17 - 18,8593
21-05-2015,18 - 19,8694
21-05-2015,19 - 20,8629
21-05-2015,20 - 21,8413
21-05-2015,21 - 22,8415
21-05-2015,22 - 23,8431
21-05-2015,23 - 00,7938
22-05-2015,00 - 01,7587
22-05-2015,01 - 02,7364
22-05-2015,02 - 03,7255
22-05-2015,03 - 04,7139
22-05-2015,04 - 05,7402
22-05-2015,05 - 06,8302
22-05-2015,06 - 07,8885
22-05-2015,07 - 08,9097
22-05-2015,08 - 09,9144
22-05-2015,09 - 10,9093
22-05-2015,10 - 11,9031
22-05-2015,11 - 12,9002
22-05-2015,12 - 13,8834
22-05-2015,13 - 14,8682
22-05-2015,14 - 15,8678
22-05-2015,15 - 16,8566
22-05-2015,16 - 17,8494
22-05-2015,17 - 18,8413
22-05-2015,18 - 19,8493
22-05-2015,19 - 20,8428
22-05-2015,20 - 21,8134
22-05-2015,21 - 22,8144
22-05-2015,22 - 23,8227
22-05-2015,23 - 00,7706
23-05-2015,00 - 01,7226
23-05-2015,01 - 02,6964
23-05-2015,02 - 03,6792
23-05-2015,03 - 04,6702
23-05-2015,04 - 05,6708
23-05-2015,05 - 06,6961
23-05-2015,06 - 07,7233
23-05-2015,07 - 08,7558
23-05-2015,08 - 09,7849
23-05-2015,09 - 10,8023
23-05-2015,10 - 11,8086
23-05-2015,11 - 12,8051
23-05-2015,12 - 13,7951
23-05-2015,13 - 14,7935
23-05-2015,14 - 15,7951
23-05-2015,15 - 16,7986
23-05-2015,16 - 17,8022
23-05-2015,17 - 18,8197
23-05-2015,18 - 19,8291
23-05-2015,19 - 20,8247
23-05-2015,20 - 21,8004
23-05-2015,21 - 22,8121
23-05-2015,22 - 23,8200
23-05-2015,23 - 00,7893
24-05-2015,00 - 01,7499
24-05-2015,01 - 02,7267
24-05-2015,02 - 03,7092
24-05-2015,03 - 04,6912
24-05-2015,04 - 05,6924
24-05-2015,05 - 06,6987
24-05-2015,06 - 07,7104
24-05-2015,07 - 08,7268
24-05-2015,08 - 09,7503
24-05-2015,09 - 10,7660
24-05-2015,10 - 11,7715
24-05-2015,11 - 12,7757
24-05-2015,12 - 13,7688
24-05-2015,13 - 14,7589
24-05-2015,14 - 15,7547
24-05-2015,15 - 16,7469
24-05-2015,16 - 17,7461
24-05-2015,17 - 18,7520
24-05-2015,18 - 19,7643
24-05-2015,19 - 20,7694
24-05-2015,20 - 21,7558
24-05-2015,21 - 22,7854
24-05-2015,22 - 23,7958
24-05-2015,23 - 00,7607
25-05-2015,00 - 01,7316
25-05-2015,01 - 02,7130
25-05-2015,02 - 03,7055
25-05-2015,03 - 04,7013
25-05-2015,04 - 05,7261
25-05-2015,05 - 06,8071
25-05-2015,06 - 07,8780
25-05-2015,07 - 08,9129
25-05-2015,08 - 09,9225
25-05-2015,09 - 10,9244
25-05-2015,10 - 11,9179
25-05-2015,11 - 12,9195
25-05-2015,12 - 13,9074
25-05-2015,13 - 14,8933
25-05-2015,14 - 15,8814
25-05-2015,15 - 16,8620
25-05-2015,16 - 17,8655
25-05-2015,17 - 18,8538
25-05-2015,18 - 19,8562
25-05-2015,19 - 20,8502
25-05-2015,20 - 21,8219
25-05-2015,21 - 22,8259
25-05-2015,22 - 23,8232
25-05-2015,23 - 00,7827
26-05-2015,00 - 01,7400
26-05-2015,01 - 02,7194
26-05-2015,02 - 03,7060
26-05-2015,03 - 04,7018
26-05-2015,04 - 05,7213
26-05-2015,05 - 06,8001
26-05-2015,06 - 07,8578
26-05-2015,07 - 08,8886
26-05-2015,08 - 09,9009
26-05-2015,09 - 10,9000
26-05-2015,10 - 11,9010
26-05-2015,11 - 12,9034
26-05-2015,12 - 13,8894
26-05-2015,13 - 14,8802
26-05-2015,14 - 15,8661
26-05-2015,15 - 16,8539
26-05-2015,16 - 17,8538
26-05-2015,17 - 18,8468
26-05-2015,18 - 19,8555
26-05-2015,19 - 20,8557
26-05-2015,20 - 21,8245
26-05-2015,21 - 22,8228
26-05-2015,22 - 23,7978
26-05-2015,23 - 00,7520
27-05-2015,00 - 01,7225
27-05-2015,01 - 02,6958
27-05-2015,02 - 03,6845
27-05-2015,03 - 04,6727
27-05-2015,04 - 05,6887
27-05-2015,05 - 06,7750
27-05-2015,06 - 07,8401
27-05-2015,07 - 08,8731
27-05-2015,08 - 09,8879
27-05-2015,09 - 10,8886
27-05-2015,10 - 11,8904
27-05-2015,11 - 12,8860
27-05-2015,12 - 13,8796
27-05-2015,13 - 14,8668
27-05-2015,14 - 15,8641
27-05-2015,15 - 16,8477
27-05-2015,16 - 17,8323
27-05-2015,17 - 18,8241
27-05-2015,18 - 19,8316
27-05-2015,19 - 20,8340
27-05-2015,20 - 21,7994
27-05-2015,21 - 22,7983
27-05-2015,22 - 23,7946
27-05-2015,23 - 00,7535
28-05-2015,00 - 01,7261
28-05-2015,01 - 02,7004
28-05-2015,02 - 03,6871
28-05-2015,03 - 04,6800
28-05-2015,04 - 05,7004
28-05-2015,05 - 06,7775
28-05-2015,06 - 07,8309
28-05-2015,07 - 08,8699
28-05-2015,08 - 09,8804
28-05-2015,09 - 10,8812
28-05-2015,10 - 11,8799
28-05-2015,11 - 12,8802
28-05-2015,12 - 13,8686
28-05-2015,13 - 14,8599
28-05-2015,14 - 15,8576
28-05-2015,15 - 16,8500
28-05-2015,16 - 17,8462
28-05-2015,17 - 18,8317
28-05-2015,18 - 19,8367
28-05-2015,19 - 20,8417
28-05-2015,20 - 21,8158
28-05-2015,21 - 22,8099
28-05-2015,22 - 23,8094
28-05-2015,23 - 00,7661
29-05-2015,00 - 01,7313
29-05-2015,01 - 02,7090
29-05-2015,02 - 03,6926
29-05-2015,03 - 04,6863
29-05-2015,04 - 05,7053
29-05-2015,05 - 06,7965
29-05-2015,06 - 07,8640
29-05-2015,07 - 08,8977
29-05-2015,08 - 09,9052
29-05-2015,09 - 10,9089
29-05-2015,10 - 11,9124
29-05-2015,11 - 12,9069
29-05-2015,12 - 13,8956
29-05-2015,13 - 14,8935
29-05-2015,14 - 15,8834
29-05-2015,15 - 16,8719
29-05-2015,16 - 17,8533
29-05-2015,17 - 18,8528
29-05-2015,18 - 19,8666
29-05-2015,19 - 20,8602
29-05-2015,20 - 21,8353
29-05-2015,21 - 22,8262
29-05-2015,22 - 23,8188
29-05-2015,23 - 00,7761
30-05-2015,00 - 01,7331
30-05-2015,01 - 02,7127
30-05-2015,02 - 03,6988
30-05-2015,03 - 04,6865
30-05-2015,04 - 05,6911
30-05-2015,05 - 06,7179
30-05-2015,06 - 07,7504
30-05-2015,07 - 08,7725
30-05-2015,08 - 09,7883
30-05-2015,09 - 10,7998
30-05-2015,10 - 11,8051
30-05-2015,11 - 12,8059
30-05-2015,12 - 13,8035
30-05-2015,13 - 14,7866
30-05-2015,14 - 15,7898
30-05-2015,15 - 16,7938
30-05-2015,16 - 17,7953
30-05-2015,17 - 18,7894
30-05-2015,18 - 19,7889
30-05-2015,19 - 20,7907
30-05-2015,20 - 21,7741
30-05-2015,21 - 22,7837
30-05-2015,22 - 23,7949
30-05-2015,23 - 00,7574
31-05-2015,00 - 01,7185
31-05-2015,01 - 02,6932
31-05-2015,02 - 03,6752
31-05-2015,03 - 04,6565
31-05-2015,04 - 05,6496
31-05-2015,05 - 06,6684
31-05-2015,06 - 07,6820
31-05-2015,07 - 08,7078
31-05-2015,08 - 09,7411
31-05-2015,09 - 10,7559
31-05-2015,10 - 11,7709
31-05-2015,11 - 12,7837
31-05-2015,12 - 13,7742
31-05-2015,13 - 14,7689
31-05-2015,14 - 15,7716
31-05-2015,15 - 16,7769
31-05-2015,16 - 17,7812
31-05-2015,17 - 18,7874
31-05-2015,18 - 19,8032
31-05-2015,19 - 20,8044
31-05-2015,20 - 21,7835
31-05-2015,21 - 22,8052
31-05-2015,22 - 23,8142
31-05-2015,23 - 00,7820
01-06-2015,00 - 01,7397
01-06-2015,01 - 02,7165
01-06-2015,02 - 03,7013
01-06-2015,03 - 04,6867
01-06-2015,04 - 05,7124
01-06-2015,05 - 06,8025
01-06-2015,06 - 07,8672
01-06-2015,07 - 08,8947
01-06-2015,08 - 09,9089
01-06-2015,09 - 10,9208
01-06-2015,10 - 11,9289
01-06-2015,11 - 12,9270
01-06-2015,12 - 13,9166
01-06-2015,13 - 14,9077
01-06-2015,14 - 15,9039
01-06-2015,15 - 16,8950
01-06-2015,16 - 17,8799
01-06-2015,17 - 18,8762
01-06-2015,18 - 19,8821
01-06-2015,19 - 20,8755
01-06-2015,20 - 21,8371
01-06-2015,21 - 22,8398
01-06-2015,22 - 23,8338
01-06-2015,23 - 00,7918
02-06-2015,00 - 01,7581
02-06-2015,01 - 02,7368
02-06-2015,02 - 03,7213
02-06-2015,03 - 04,7107
02-06-2015,04 - 05,7376
02-06-2015,05 - 06,8210
02-06-2015,06 - 07,8764
02-06-2015,07 - 08,8861
02-06-2015,08 - 09,9044
02-06-2015,09 - 10,9107
02-06-2015,10 - 11,9162
02-06-2015,11 - 12,9130
02-06-2015,12 - 13,9044
02-06-2015,13 - 14,8987
02-06-2015,14 - 15,8943
02-06-2015,15 - 16,8847
02-06-2015,16 - 17,8863
02-06-2015,17 - 18,8791
02-06-2015,18 - 19,8816
02-06-2015,19 - 20,8834
02-06-2015,20 - 21,8613
02-06-2015,21 - 22,8504
02-06-2015,22 - 23,8412
02-06-2015,23 - 00,7925
03-06-2015,00 - 01,7507
03-06-2015,01 - 02,7319
03-06-2015,02 - 03,7234
03-06-2015,03 - 04,7183
03-06-2015,04 - 05,7427
03-06-2015,05 - 06,8187
03-06-2015,06 - 07,8783
03-06-2015,07 - 08,9083
03-06-2015,08 - 09,9276
03-06-2015,09 - 10,9248
03-06-2015,10 - 11,9366
03-06-2015,11 - 12,9336
03-06-2015,12 - 13,9282
03-06-2015,13 - 14,9123
03-06-2015,14 - 15,8910
03-06-2015,15 - 16,8714
03-06-2015,16 - 17,8724
03-06-2015,17 - 18,8825
03-06-2015,18 - 19,8720
03-06-2015,19 - 20,8805
03-06-2015,20 - 21,8471
03-06-2015,21 - 22,8431
03-06-2015,22 - 23,8445
03-06-2015,23 - 00,8020
04-06-2015,00 - 01,7647
04-06-2015,01 - 02,7426
04-06-2015,02 - 03,7223
04-06-2015,03 - 04,7103
04-06-2015,04 - 05,7406
04-06-2015,05 - 06,8159
04-06-2015,06 - 07,8674
04-06-2015,07 - 08,8983
04-06-2015,08 - 09,9011
04-06-2015,09 - 10,8979
04-06-2015,10 - 11,9047
04-06-2015,11 - 12,9110
04-06-2015,12 - 13,8969
04-06-2015,13 - 14,8917
04-06-2015,14 - 15,8858
04-06-2015,15 - 16,8764
04-06-2015,16 - 17,8682
04-06-2015,17 - 18,8588
04-06-2015,18 - 19,8646
04-06-2015,19 - 20,8738
04-06-2015,20 - 21,8417
04-06-2015,21 - 22,8362
04-06-2015,22 - 23,8264
04-06-2015,23 - 00,7900
05-06-2015,00 - 01,7555
05-06-2015,01 - 02,7340
05-06-2015,02 - 03,7145
05-06-2015,03 - 04,7130
05-06-2015,04 - 05,7416
05-06-2015,05 - 06,8160
05-06-2015,06 - 07,8682
05-06-2015,07 - 08,8863
05-06-2015,08 - 09,8914
05-06-2015,09 - 10,8980
05-06-2015,10 - 11,9000
05-06-2015,11 - 12,8905
05-06-2015,12 - 13,8760
05-06-2015,13 - 14,8664
05-06-2015,14 - 15,8654
05-06-2015,15 - 16,8601
05-06-2015,16 - 17,8631
05-06-2015,17 - 18,8512
05-06-2015,18 - 19,8551
05-06-2015,19 - 20,8541
05-06-2015,20 - 21,8264
05-06-2015,21 - 22,8273
05-06-2015,22 - 23,8271
05-06-2015,23 - 00,7923
06-06-2015,00 - 01,7607
06-06-2015,01 - 02,7338
06-06-2015,02 - 03,7140
06-06-2015,03 - 04,7055
06-06-2015,04 - 05,7126
06-06-2015,05 - 06,7329
06-06-2015,06 - 07,7540
06-06-2015,07 - 08,7832
06-06-2015,08 - 09,8003
06-06-2015,09 - 10,8115
06-06-2015,10 - 11,8037
06-06-2015,11 - 12,8133
06-06-2015,12 - 13,8111
06-06-2015,13 - 14,8064
06-06-2015,14 - 15,8156
06-06-2015,15 - 16,8176
06-06-2015,16 - 17,8372
06-06-2015,17 - 18,8348
06-06-2015,18 - 19,8380
06-06-2015,19 - 20,8174
06-06-2015,20 - 21,8030
06-06-2015,21 - 22,8084
06-06-2015,22 - 23,8055
06-06-2015,23 - 00,7602
07-06-2015,00 - 01,7312
07-06-2015,01 - 02,7046
07-06-2015,02 - 03,6854
07-06-2015,03 - 04,6689
07-06-2015,04 - 05,6719
07-06-2015,05 - 06,6824
07-06-2015,06 - 07,7029
07-06-2015,07 - 08,7093
07-06-2015,08 - 09,7316
07-06-2015,09 - 10,7640
07-06-2015,10 - 11,7756
07-06-2015,11 - 12,7876
07-06-2015,12 - 13,7929
07-06-2015,13 - 14,7742
07-06-2015,14 - 15,7693
07-06-2015,15 - 16,7788
07-06-2015,16 - 17,7911
07-06-2015,17 - 18,7974
07-06-2015,18 - 19,8049
07-06-2015,19 - 20,8068
07-06-2015,20 - 21,7912
07-06-2015,21 - 22,8052
07-06-2015,22 - 23,8152
07-06-2015,23 - 00,7841
08-06-2015,00 - 01,7539
08-06-2015,01 - 02,7283
08-06-2015,02 - 03,7104
08-06-2015,03 - 04,7071
08-06-2015,04 - 05,7286
08-06-2015,05 - 06,8135
08-06-2015,06 - 07,8883
08-06-2015,07 - 08,9128
08-06-2015,08 - 09,9199
08-06-2015,09 - 10,9258
08-06-2015,10 - 11,9270
08-06-2015,11 - 12,9243
08-06-2015,12 - 13,9164
08-06-2015,13 - 14,9166
08-06-2015,14 - 15,9069
08-06-2015,15 - 16,8918
08-06-2015,16 - 17,8881
08-06-2015,17 - 18,8710
08-06-2015,18 - 19,8714
08-06-2015,19 - 20,8769
08-06-2015,20 - 21,8461
08-06-2015,21 - 22,8444
08-06-2015,22 - 23,8354
08-06-2015,23 - 00,7980
09-06-2015,00 - 01,7550
09-06-2015,01 - 02,7424
09-06-2015,02 - 03,7251
09-06-2015,03 - 04,7189
09-06-2015,04 - 05,7385
09-06-2015,05 - 06,8161
09-06-2015,06 - 07,8813
09-06-2015,07 - 08,9072
09-06-2015,08 - 09,9209
09-06-2015,09 - 10,9245
09-06-2015,10 - 11,9273
09-06-2015,11 - 12,9211
09-06-2015,12 - 13,9089
09-06-2015,13 - 14,9009
09-06-2015,14 - 15,8939
09-06-2015,15 - 16,8757
09-06-2015,16 - 17,8661
09-06-2015,17 - 18,8571
09-06-2015,18 - 19,8647
09-06-2015,19 - 20,8642
09-06-2015,20 - 21,8294
09-06-2015,21 - 22,8277
09-06-2015,22 - 23,8237
09-06-2015,23 - 00,7916
10-06-2015,00 - 01,7529
10-06-2015,01 - 02,7289
10-06-2015,02 - 03,7061
10-06-2015,03 - 04,7018
10-06-2015,04 - 05,7295
10-06-2015,05 - 06,8073
10-06-2015,06 - 07,8633
10-06-2015,07 - 08,9028
10-06-2015,08 - 09,9105
10-06-2015,09 - 10,9104
10-06-2015,10 - 11,9097
10-06-2015,11 - 12,9105
10-06-2015,12 - 13,9075
10-06-2015,13 - 14,8962
10-06-2015,14 - 15,8680
10-06-2015,15 - 16,8633
10-06-2015,16 - 17,8631
10-06-2015,17 - 18,8600
10-06-2015,18 - 19,8688
10-06-2015,19 - 20,8699
10-06-2015,20 - 21,8296
10-06-2015,21 - 22,8214
10-06-2015,22 - 23,8216
10-06-2015,23 - 00,7780
11-06-2015,00 - 01,7468
11-06-2015,01 - 02,7212
11-06-2015,02 - 03,7111
11-06-2015,03 - 04,7037
11-06-2015,04 - 05,7265
11-06-2015,05 - 06,7969
11-06-2015,06 - 07,8477
11-06-2015,07 - 08,8849
11-06-2015,08 - 09,9175
11-06-2015,09 - 10,9267
11-06-2015,10 - 11,9237
11-06-2015,11 - 12,9231
11-06-2015,12 - 13,9179
11-06-2015,13 - 14,9068
11-06-2015,14 - 15,8880
11-06-2015,15 - 16,8860
11-06-2015,16 - 17,8840
11-06-2015,17 - 18,8735
11-06-2015,18 - 19,8873
11-06-2015,19 - 20,8915
11-06-2015,20 - 21,8602
11-06-2015,21 - 22,8480
11-06-2015,22 - 23,8521
11-06-2015,23 - 00,8148
12-06-2015,00 - 01,7792
12-06-2015,01 - 02,7563
12-06-2015,02 - 03,7386
12-06-2015,03 - 04,7325
12-06-2015,04 - 05,7586
12-06-2015,05 - 06,8389
12-06-2015,06 - 07,8982
12-06-2015,07 - 08,9300
12-06-2015,08 - 09,9429
12-06-2015,09 - 10,9441
12-06-2015,10 - 11,9401
12-06-2015,11 - 12,9353
12-06-2015,12 - 13,9202
12-06-2015,13 - 14,9119
12-06-2015,14 - 15,8973
12-06-2015,15 - 16,8809
12-06-2015,16 - 17,8722
12-06-2015,17 - 18,8637
12-06-2015,18 - 19,8655
12-06-2015,19 - 20,8575
12-06-2015,20 - 21,8292
12-06-2015,21 - 22,8277
12-06-2015,22 - 23,8245
12-06-2015,23 - 00,7884
13-06-2015,00 - 01,7587
13-06-2015,01 - 02,7222
13-06-2015,02 - 03,7095
13-06-2015,03 - 04,6956
13-06-2015,04 - 05,7015
13-06-2015,05 - 06,7217
13-06-2015,06 - 07,7474
13-06-2015,07 - 08,7703
13-06-2015,08 - 09,7987
13-06-2015,09 - 10,8072
13-06-2015,10 - 11,8131
13-06-2015,11 - 12,8104
13-06-2015,12 - 13,8038
13-06-2015,13 - 14,7925
13-06-2015,14 - 15,8021
13-06-2015,15 - 16,7992
13-06-2015,16 - 17,8069
13-06-2015,17 - 18,8058
13-06-2015,18 - 19,8186
13-06-2015,19 - 20,8108
13-06-2015,20 - 21,7869
13-06-2015,21 - 22,8017
13-06-2015,22 - 23,8059
13-06-2015,23 - 00,7760
14-06-2015,00 - 01,7459
14-06-2015,01 - 02,7201
14-06-2015,02 - 03,7015
14-06-2015,03 - 04,6831
14-06-2015,04 - 05,6857
14-06-2015,05 - 06,6935
14-06-2015,06 - 07,7079
14-06-2015,07 - 08,7310
14-06-2015,08 - 09,7577
14-06-2015,09 - 10,7766
14-06-2015,10 - 11,7934
14-06-2015,11 - 12,8015
14-06-2015,12 - 13,7899
14-06-2015,13 - 14,7925
14-06-2015,14 - 15,8019
14-06-2015,15 - 16,8082
14-06-2015,16 - 17,8166
14-06-2015,17 - 18,8201
14-06-2015,18 - 19,8279
14-06-2015,19 - 20,8325
14-06-2015,20 - 21,8090
14-06-2015,21 - 22,8208
14-06-2015,22 - 23,8259
14-06-2015,23 - 00,7879
15-06-2015,00 - 01,7509
15-06-2015,01 - 02,7293
15-06-2015,02 - 03,7173
15-06-2015,03 - 04,7113
15-06-2015,04 - 05,7318
15-06-2015,05 - 06,8151
15-06-2015,06 - 07,8792
15-06-2015,07 - 08,9164
15-06-2015,08 - 09,9308
15-06-2015,09 - 10,9287
15-06-2015,10 - 11,9321
15-06-2015,11 - 12,9374
15-06-2015,12 - 13,9309
15-06-2015,13 - 14,9250
15-06-2015,14 - 15,9121
15-06-2015,15 - 16,8962
15-06-2015,16 - 17,8883
15-06-2015,17 - 18,8722
15-06-2015,18 - 19,8716
15-06-2015,19 - 20,8708
15-06-2015,20 - 21,8389
15-06-2015,21 - 22,8310
15-06-2015,22 - 23,8255
15-06-2015,23 - 00,7873
16-06-2015,00 - 01,7513
16-06-2015,01 - 02,7250
16-06-2015,02 - 03,6958
16-06-2015,03 - 04,6977
16-06-2015,04 - 05,7214
16-06-2015,05 - 06,7979
16-06-2015,06 - 07,8525
16-06-2015,07 - 08,8850
16-06-2015,08 - 09,8995
16-06-2015,09 - 10,8987
16-06-2015,10 - 11,8994
16-06-2015,11 - 12,9122
16-06-2015,12 - 13,9006
16-06-2015,13 - 14,8944
16-06-2015,14 - 15,8875
16-06-2015,15 - 16,8683
16-06-2015,16 - 17,8624
16-06-2015,17 - 18,8371
16-06-2015,18 - 19,8443
16-06-2015,19 - 20,8585
16-06-2015,20 - 21,8233
16-06-2015,21 - 22,8183
16-06-2015,22 - 23,8035
16-06-2015,23 - 00,7573
17-06-2015,00 - 01,7267
17-06-2015,01 - 02,6915
17-06-2015,02 - 03,6684
17-06-2015,03 - 04,6660
17-06-2015,04 - 05,6829
17-06-2015,05 - 06,7689
17-06-2015,06 - 07,8224
17-06-2015,07 - 08,8456
17-06-2015,08 - 09,8564
17-06-2015,09 - 10,8584
17-06-2015,10 - 11,8569
17-06-2015,11 - 12,8584
17-06-2015,12 - 13,8539
17-06-2015,13 - 14,8482
17-06-2015,14 - 15,8418
17-06-2015,15 - 16,8258
17-06-2015,16 - 17,8168
17-06-2015,17 - 18,8144
17-06-2015,18 - 19,8143
17-06-2015,19 - 20,8125
17-06-2015,20 - 21,7794
17-06-2015,21 - 22,7788
17-06-2015,22 - 23,7754
17-06-2015,23 - 00,7373
18-06-2015,00 - 01,6970
18-06-2015,01 - 02,6766
18-06-2015,02 - 03,6564
18-06-2015,03 - 04,6495
18-06-2015,04 - 05,6713
18-06-2015,05 - 06,7425
18-06-2015,06 - 07,8077
18-06-2015,07 - 08,8398
18-06-2015,08 - 09,8541
18-06-2015,09 - 10,8586
18-06-2015,10 - 11,8613
18-06-2015,11 - 12,8568
18-06-2015,12 - 13,8450
18-06-2015,13 - 14,8255
18-06-2015,14 - 15,8180
18-06-2015,15 - 16,8050
18-06-2015,16 - 17,7980
18-06-2015,17 - 18,7957
18-06-2015,18 - 19,8014
18-06-2015,19 - 20,8000
18-06-2015,20 - 21,7671
18-06-2015,21 - 22,7695
18-06-2015,22 - 23,7587
18-06-2015,23 - 00,7215
19-06-2015,00 - 01,6776
19-06-2015,01 - 02,6555
19-06-2015,02 - 03,6361
19-06-2015,03 - 04,6223
19-06-2015,04 - 05,6319
19-06-2015,05 - 06,6571
19-06-2015,06 - 07,6861
19-06-2015,07 - 08,7073
19-06-2015,08 - 09,7273
19-06-2015,09 - 10,7379
19-06-2015,10 - 11,7501
19-06-2015,11 - 12,7408
19-06-2015,12 - 13,7330
19-06-2015,13 - 14,7308
19-06-2015,14 - 15,7409
19-06-2015,15 - 16,7429
19-06-2015,16 - 17,7409
19-06-2015,17 - 18,7370
19-06-2015,18 - 19,7291
19-06-2015,19 - 20,7112
19-06-2015,20 - 21,6957
19-06-2015,21 - 22,7131
19-06-2015,22 - 23,7227
19-06-2015,23 - 00,6929
20-06-2015,00 - 01,6697
20-06-2015,01 - 02,6454
20-06-2015,02 - 03,6240
20-06-2015,03 - 04,6078
20-06-2015,04 - 05,6037
20-06-2015,05 - 06,6147
20-06-2015,06 - 07,6241
20-06-2015,07 - 08,6394
20-06-2015,08 - 09,6553
20-06-2015,09 - 10,6717
20-06-2015,10 - 11,6790
20-06-2015,11 - 12,6869
20-06-2015,12 - 13,6845
20-06-2015,13 - 14,6895
20-06-2015,14 - 15,6844
20-06-2015,15 - 16,6894
20-06-2015,16 - 17,6946
20-06-2015,17 - 18,7015
20-06-2015,18 - 19,7046
20-06-2015,19 - 20,7005
20-06-2015,20 - 21,6881
20-06-2015,21 - 22,7035
20-06-2015,22 - 23,7019
20-06-2015,23 - 00,6750
21-06-2015,00 - 01,6525
21-06-2015,01 - 02,6270
21-06-2015,02 - 03,6062
21-06-2015,03 - 04,5948
21-06-2015,04 - 05,5929
21-06-2015,05 - 06,6095
21-06-2015,06 - 07,6201
21-06-2015,07 - 08,6322
21-06-2015,08 - 09,6526
21-06-2015,09 - 10,6718
21-06-2015,10 - 11,6871
21-06-2015,11 - 12,6980
21-06-2015,12 - 13,6943
21-06-2015,13 - 14,6923
21-06-2015,14 - 15,6933
21-06-2015,15 - 16,6938
21-06-2015,16 - 17,6946
21-06-2015,17 - 18,6979
21-06-2015,18 - 19,6980
21-06-2015,19 - 20,6976
21-06-2015,20 - 21,6908
21-06-2015,21 - 22,7059
21-06-2015,22 - 23,7066
21-06-2015,23 - 00,6730
22-06-2015,00 - 01,6453
22-06-2015,01 - 02,6272
22-06-2015,02 - 03,6119
22-06-2015,03 - 04,6059
22-06-2015,04 - 05,6303
22-06-2015,05 - 06,7111
22-06-2015,06 - 07,7786
22-06-2015,07 - 08,8161
22-06-2015,08 - 09,8369
22-06-2015,09 - 10,8389
22-06-2015,10 - 11,8445
22-06-2015,11 - 12,8486
22-06-2015,12 - 13,8410
22-06-2015,13 - 14,8188
22-06-2015,14 - 15,8131
22-06-2015,15 - 16,7939
22-06-2015,16 - 17,7915
22-06-2015,17 - 18,7920
22-06-2015,18 - 19,7933
22-06-2015,19 - 20,7894
22-06-2015,20 - 21,7680
22-06-2015,21 - 22,7727
22-06-2015,22 - 23,7674
22-06-2015,23 - 00,7323
23-06-2015,00 - 01,7082
23-06-2015,01 - 02,6817
23-06-2015,02 - 03,6641
23-06-2015,03 - 04,6584
23-06-2015,04 - 05,6786
23-06-2015,05 - 06,7603
23-06-2015,06 - 07,8238
23-06-2015,07 - 08,8457
23-06-2015,08 - 09,8620
23-06-2015,09 - 10,8748
23-06-2015,10 - 11,8748
23-06-2015,11 - 12,8794
23-06-2015,12 - 13,8673
23-06-2015,13 - 14,8664
23-06-2015,14 - 15,8551
23-06-2015,15 - 16,8464
23-06-2015,16 - 17,8439
23-06-2015,17 - 18,8343
23-06-2015,18 - 19,8382
23-06-2015,19 - 20,8393
23-06-2015,20 - 21,8125
23-06-2015,21 - 22,8094
23-06-2015,22 - 23,7944
23-06-2015,23 - 00,7602
24-06-2015,00 - 01,7283
24-06-2015,01 - 02,7017
24-06-2015,02 - 03,6889
24-06-2015,03 - 04,6806
24-06-2015,04 - 05,7046
24-06-2015,05 - 06,7742
24-06-2015,06 - 07,8419
24-06-2015,07 - 08,8755
24-06-2015,08 - 09,9003
24-06-2015,09 - 10,9110
24-06-2015,10 - 11,9192
24-06-2015,11 - 12,9213
24-06-2015,12 - 13,9106
24-06-2015,13 - 14,9000
24-06-2015,14 - 15,8933
24-06-2015,15 - 16,8744
24-06-2015,16 - 17,8678
24-06-2015,17 - 18,8626
24-06-2015,18 - 19,8735
24-06-2015,19 - 20,8692
24-06-2015,20 - 21,8382
24-06-2015,21 - 22,8332
24-06-2015,22 - 23,8261
24-06-2015,23 - 00,7833
25-06-2015,00 - 01,7451
25-06-2015,01 - 02,7065
25-06-2015,02 - 03,6828
25-06-2015,03 - 04,6869
25-06-2015,04 - 05,7095
25-06-2015,05 - 06,7889
25-06-2015,06 - 07,8484
25-06-2015,07 - 08,8867
25-06-2015,08 - 09,8987
25-06-2015,09 - 10,9063
25-06-2015,10 - 11,9185
25-06-2015,11 - 12,9228
25-06-2015,12 - 13,9128
25-06-2015,13 - 14,9052
25-06-2015,14 - 15,8975
25-06-2015,15 - 16,8820
25-06-2015,16 - 17,8759
25-06-2015,17 - 18,8696
25-06-2015,18 - 19,8717
25-06-2015,19 - 20,8725
25-06-2015,20 - 21,8466
25-06-2015,21 - 22,8410
25-06-2015,22 - 23,8366
25-06-2015,23 - 00,7978
26-06-2015,00 - 01,7560
26-06-2015,01 - 02,7349
26-06-2015,02 - 03,7233
26-06-2015,03 - 04,7170
26-06-2015,04 - 05,7360
26-06-2015,05 - 06,8109
26-06-2015,06 - 07,8626
26-06-2015,07 - 08,8898
26-06-2015,08 - 09,9047
